Code,Description1,Description2,Last_Updated
G9327002004,capable of collecting at a minimum all necessary data elements,,09-09-2025
G9328001003,Dicom format image data availability not documented in final report due to      Medrsn no dicom format doc  0,Medrsn no dicom format doc  00      9,09-09-2025
G9328002004,"medical reasons (eg, ct studies performed for radiation treatment planning or",,09-09-2025
G9328003004,image-guided radiation treatment delivery),,09-09-2025
G9329001003,Dicom format image data available to non-affiliated external healthcare         Norsn no dicom format doc   0,Norsn no dicom format doc   00      9,09-09-2025
G9329002004,"facilities or entities on a secure, media free, reciprocally searchable basis",,09-09-2025
G9329003004,with patient authorization for at least a 12-month period after the study not,,09-09-2025
G9329004004,"documented in final report, reason not given",,09-09-2025
G9340001003,Final report documented that dicom format image data available to               Dicom format doc on rpt     0,Dicom format doc on rpt     00      9,09-09-2025
G9340002004,"non-affiliated external healthcare facilities or entities on a secure, media",,09-09-2025
G9340003004,"free, reciprocally searchable basis with patient authorization for at least a",,09-09-2025
G9340004004,12-month period after the study,,09-09-2025
G9341001003,Search conducted for prior patient ct studies completed at non-affiliated       Srch for ct w in 12 mos     0,Srch for ct w in 12 mos     00      9,09-09-2025
G9341002004,external healthcare facilities or entities within the past 12-months and are,,09-09-2025
G9341003004,"available through a secure, authorized, media-free, shared archive prior to an",,09-09-2025
G9341004004,imaging study being performed,,09-09-2025
G9342001003,Search not conducted prior to an imaging study being performed for prior        No srch for ct in 12mo norsn0,No srch for ct in 12mo norsn00      9,09-09-2025
G9342002004,patient ct studies completed at non-affiliated external healthcare facilities,,09-09-2025
G9342003004,"or entities within the past 12-months and are available through a secure,",,09-09-2025
G9342004004,"authorized, media-free, shared archive, reason not given",,09-09-2025
G9343001003,"Due to medical reasons, search not conducted for dicom format images for prior  Medrsn no dicom srch        0",Medrsn no dicom srch        00      9,09-09-2025
G9343002004,patient ct imaging studies completed at non-affiliated external healthcare,,09-09-2025
G9343003004,facilities or entities within the past 12 months that are available through a,,09-09-2025
G9343004004,"secure, authorized, media-free, shared archive (e.g., ct studies performed for",,09-09-2025
G9343005004,radiation treatment planning or image-guided radiation treatment delivery),,09-09-2025
G9344001003,Due to system reasons search not conducted for dicom format images for prior    Sysrsn no dicom srch        0,Sysrsn no dicom srch        00      9,09-09-2025
G9344002004,patient ct imaging studies completed at non-affiliated external healthcare,,09-09-2025
G9344003004,facilities or entities within the past 12 months that are available through a,,09-09-2025
G9344004004,"secure, authorized, media-free, shared archive (e.g., non-affiliated external",,09-09-2025
G9344005004,healthcare facilities or entities does not have archival abilities through a,,09-09-2025
G9344006004,shared archival system),,09-09-2025
G9345001003,Follow-up recommendations documented according to recommended guidelines for    Follow up pulm nod          0,Follow up pulm nod          00      9,09-09-2025
G9345002004,"incidentally detected pulmonary nodules (e.g., follow-up ct imaging studies",,09-09-2025
G9345003004,needed or that no follow-up is needed) based at a minimum on nodule size and,,09-09-2025
G9345004004,patient risk factors,,09-09-2025
G9346001003,Follow-up recommendations not documented according to recommended guidelines    No follow up pulm nod       0,No follow up pulm nod       00      9,09-09-2025
G9346002004,"for incidentally detected pulmonary nodules due to medical reasons (e.g.,",,09-09-2025
G9346003004,"patients with known malignant disease, patients with unexplained fever, ct",,09-09-2025
G9346004004,studies performed for radiation treatment planning or image-guided radiation,,09-09-2025
G9346005004,treatment delivery),,09-09-2025
G9347001003,Follow-up recommendations not documented according to recommended guidelines    No follow up pulm nod norsn 0,No follow up pulm nod norsn 00      9,09-09-2025
G9347002004,"for incidentally detected pulmonary nodules, reason not given",,09-09-2025
G9348001003,Ct scan of the paranasal sinuses ordered at the time of diagnosis for           Doc rsn for ord ct scan     0,Doc rsn for ord ct scan     00      9,09-09-2025
G9348002004,documented reasons,,09-09-2025
G9349001003,Ct scan of the paranasal sinuses ordered at the time of diagnosis or received   Ct within 28 days           0,Ct within 28 days           00      9,09-09-2025
G9349002004,within 28 days after date of diagnosis,,09-09-2025
G9350001003,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or        No doc sinus ct 28d or dx   0,No doc sinus ct 28d or dx   00      9,09-09-2025
G9350002004,received within 28 days after date of diagnosis,,09-09-2025
G9351001003,More than one ct scan of the paranasal sinuses ordered or received within 90    Doc >1 sinus ct w 90d dx    0,Doc >1 sinus ct w 90d dx    00      9,09-09-2025
G9351002004,days after diagnosis,,09-09-2025
G9352001003,More than one ct scan of the paranasal sinuses ordered or received within 90    Not >1 sinus ct w 90d dx    0,Not >1 sinus ct w 90d dx    00      9,09-09-2025
G9352002004,"days after the date of diagnosis, reason not given",,09-09-2025
G9353001003,More than one ct scan of the paranasal sinuses ordered or received within 90    Medrsn >1 sinus ct w 90d dx 0,Medrsn >1 sinus ct w 90d dx 00      9,09-09-2025
G9353002004,"days after the date of diagnosis for documented reasons (eg, patients with",,09-09-2025
G9353003004,"complications, second ct obtained prior to surgery, other medical reasons)",,09-09-2025
G9354001003,One ct scan or no ct scan of the paranasal sinuses ordered within 90 days after 1 or no ct sinus w/in 90d dx0,1 or no ct sinus w/in 90d dx00      9,09-09-2025
G9354002004,the date of diagnosis,,09-09-2025
G9355001003,Elective delivery (without medical indication) by cesarean birth or induction   No early ind/delivery       0,No early ind/delivery       00      9,09-09-2025
G9355002004,of labor not performed (<39 weeks of gestation),,09-09-2025
G9356001003,Elective delivery (without medical indication) by cesarean birth or induction   Early ind/delivery          0,Early ind/delivery          00      9,09-09-2025
G9356002004,of labor performed (<39 weeks of gestation),,09-09-2025
G9357001003,"Post-partum screenings, evaluations and education performed                     Pp eval/edu perf            0",Pp eval/edu perf            00      9,09-09-2025
G9358001003,"Post-partum screenings, evaluations and education not performed                 Pp eval/edu not perf        0",Pp eval/edu not perf        00      9,09-09-2025
G9359001003,Documentation of negative or managed positive tb screen with further evidence   Neg mgd pos tb notact       0,Neg mgd pos tb notact       00      9,09-09-2025
G9359002004,that tb is not active prior to treatment with a biologic immune response,,09-09-2025
G9359003004,modifier,,09-09-2025
G9360001003,No documentation of negative or managed positive tb screen                      No doc of neg or man pos tb 0,No doc of neg or man pos tb 00      9,09-09-2025
G9361001003,Medical indication for delivery by cesarean birth or induction of labor (<39    Doc rsn elect c-sec/induct  0,Doc rsn elect c-sec/induct  00      9,09-09-2025
G9361002004,"weeks of gestation) [documentation of reason(s) for elective delivery (e.g.,",,09-09-2025
G9361003004,"hemorrhage and placental complications, hypertension, preeclampsia and",,09-09-2025
G9361004004,"eclampsia, rupture of membranes (premature or prolonged), maternal conditions",,09-09-2025
G9361005004,"complicating pregnancy/delivery, fetal conditions complicating",,09-09-2025
G9361006004,"pregnancy/delivery, late pregnancy, prior uterine surgery, or participation in",,09-09-2025
G9361007004,clinical trial)],,09-09-2025
G9362001003,Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb)     Mac or pnb w/o genanes >60m 0,Mac or pnb w/o genanes >60m 00      9,09-09-2025
G9362002004,without the use of general anesthesia during an applicable procedure 60 minutes,,09-09-2025
G9362003004,"or longer, as documented in the anesthesia record",,09-09-2025
G9363001003,Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb)     Mac or pnb w/o genanes <60m 0,Mac or pnb w/o genanes <60m 00      9,09-09-2025
G9363002004,without the use of general anesthesia during an applicable procedure or general,,09-09-2025
G9363003004,"or neuraxial anesthesia less than 60 minutes, as documented in the anesthesia",,09-09-2025
G9363004004,record,,09-09-2025
G9364001003,"Sinusitis caused by, or presumed to be caused by, bacterial infection           Sinus caus bac inx          0",Sinus caus bac inx          00      9,09-09-2025
G9365001003,One high-risk medication ordered                                                1high risk med ord          0,1high risk med ord          00      9,09-09-2025
G9366001003,One high-risk medication not ordered                                            1high risk no ord           0,1high risk no ord           00      9,09-09-2025
G9367001003,At least two orders for high-risk medications from the same drug class          >= 2 same hi-rsk med ord    0,>= 2 same hi-rsk med ord    00      9,09-09-2025
G9368001003,At least two orders for high-risk medications from the same drug class not      >= 2 same hi-rsk med not ord0,>= 2 same hi-rsk med not ord00      9,09-09-2025
